distanceX,distanceY,closeTopWall,closeBottomWall,closeLeftWall,closeRightWall,bodyUp,bodyDown,bodyLeft,bodyRight,action
-6,-6,0,0,0,0,0,0,0,0,0
15,10,0,0,0,0,0,0,0,0,1
-17,0,0,0,0,0,0,0,0,0,2
-4,-7,0,1,0,0,1,0,1,0,3
8,4,0,0,0,0,0,0,0,0,1
7,7,1,0,1,0,0,0,0,0,1
3,1,0,0,0,0,1,0,1,0,1
-22,1,0,0,0,1,0,0,0,0,1
-9,-4,0,0,0,0,0,0,0,0,0
-6,11,0,0,0,0,0,0,0,0,1
6,12,0,0,0,0,0,0,0,0,1
4,13,0,0,0,0,1,0,0,0,1
3,-5,0,0,0,0,0,0,0,1,0
-14,0,0,0,0,0,0,0,0,0,2
-12,13,0,0,0,0,0,0,0,0,1
18,16,0,0,0,0,0,0,0,0,1
6,10,0,0,0,0,1,0,0,0,1
22,11,0,0,0,0,1,0,0,0,1
20,6,0,0,0,0,0,0,1,0,1
-6,2,0,0,0,0,0,0,0,0,1
1,8,0,0,1,0,0,0,0,0,1
22,-2,0,0,0,0,0,0,0,0,0
5,1,0,1,0,0,0,0,1,0,3
-6,-12,0,0,0,0,0,0,0,0,0
-17,-14,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,1,0,0,0,0,2
-7,5,0,0,0,0,0,0,0,0,1
-11,7,0,0,0,0,0,0,0,0,1
10,-7,0,0,0,0,0,0,0,0,0
14,3,0,0,0,0,0,0,0,0,1
-3,8,0,0,0,0,0,0,0,0,1
-3,1,0,0,0,0,0,1,0,1,2
18,-5,0,0,1,0,0,0,1,0,0
6,-3,0,0,0,0,0,0,0,0,0
-22,2,0,0,0,0,0,0,0,0,1
-5,-4,0,0,0,0,0,0,0,0,0
-8,-2,0,0,0,1,0,0,0,1,0
-8,5,0,0,0,0,0,0,0,0,1
-5,-5,0,0,0,1,0,0,0,0,0
10,0,0,0,0,0,0,0,1,0,3
-16,5,1,0,0,0,0,0,0,0,1
-4,11,0,0,0,0,1,0,0,0,1
-7,-1,1,0,0,0,0,0,0,0,2
14,12,0,0,0,0,1,0,0,0,1
8,-8,0,0,0,0,1,0,0,0,3
6,-1,0,0,0,0,0,0,1,0,0
-1,-5,0,0,0,0,0,0,0,0,0
4,-8,0,0,0,0,0,0,0,0,0
7,-2,0,0,0,0,1,1,0,0,3
14,1,0,0,0,0,0,0,0,0,1
-24,3,0,0,0,0,0,0,0,1,1
-20,-11,0,0,0,0,0,0,0,0,0
-1,8,1,0,0,0,1,0,0,0,1
18,12,0,0,0,0,0,0,0,0,1
-2,-8,0,0,0,0,0,0,0,0,0
-25,-4,0,0,0,0,0,0,0,0,0
-12,11,1,0,0,0,0,0,0,0,1
9,6,0,0,0,0,0,0,0,0,1
4,-15,0,0,0,0,0,1,0,0,0
-24,-4,0,0,0,1,0,0,0,0,0
-10,1,0,0,0,0,0,1,0,0,2
23,-5,0,0,0,0,1,0,0,0,3
-21,-2,0,0,0,0,0,0,0,1,0
-5,0,0,0,0,0,0,0,0,0,2
7,2,0,0,0,0,0,0,0,0,1
0,5,1,0,0,1,0,0,0,0,1
0,7,0,0,0,0,0,0,0,0,1
-1,-15,0,0,0,0,1,0,0,0,2
-1,1,0,0,0,0,0,0,0,0,1
2,3,0,0,0,0,1,1,1,0,3
-22,2,0,0,0,1,1,0,0,0,1
-4,3,0,0,0,0,0,0,0,1,1
-1,1,0,0,0,1,0,0,0,0,1
-5,4,0,0,0,0,0,0,0,1,1
-2,-3,0,0,0,0,0,0,0,0,0
12,6,1,0,0,0,0,0,0,0,1
0,2,0,0,0,0,1,0,0,0,1
0,6,0,0,0,0,0,0,0,0,1
4,-4,0,0,0,0,0,0,0,1,0
11,7,0,0,0,0,1,0,0,0,1
-11,4,0,0,0,0,0,0,0,0,1
-25,9,0,0,0,0,0,1,0,0,2
-5,-14,0,0,0,0,0,0,1,0,0
1,-9,0,0,0,0,0,0,0,0,0
4,-8,0,0,1,0,0,0,0,1,0
-6,5,0,0,0,0,0,0,0,0,1
-5,-2,0,0,0,0,0,0,1,0,0
-1,2,0,0,0,0,0,0,1,1,1
